zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
NFA,p-100971,O mistru hanušovi,O mistru hanušovi,O mistru Hanušovi,metal box,35 mm,ORWO 202,-,,1,26.1.79,-,-,přepisové studio,CPR-I,KF Praha,mez. pás přepis,mezinárodní pás,přepis,,,no,
NFA,p-101560,O mistru hanušovi,O mistru hanušovi,O mistru Hanušovi,metal box,35 mm,ORWO PC 7,-,,2,26.1.79,-,-,přepisové studio,CPR-I,KF Praha,mez. pás přepis ,mezinárodní pás,přepis,,,no,
NFA,p-100557,O neposedném knoflíčku,O neposedném knoflíčku,O neposedném knoflíčku,paper box,"1/​4""",Agfa PER 525,-,,-,-,3252,č.f. 524501,-,-,-,mono,magnetický záznam,,mono,,no,
NFA,p-101013,O neposedném knoflíčku,O neposedném knoflíčku,O neposedném knoflíčku,metal box,35 mm,MB - ORWO (35 mm),-,,-,14/05/1975,3242,-,Evropa,CPR-I,KF-loutkový film,mezin. pás,mezinárodní pás,,,,no,
NFA,p-101064,O parádivé sally,O parádivé sally,O parádivé Sally,metal box,35 mm,MB - ORWO (35 mm),Ing. Astrug,Bejnamin Astrug,-,8.7.1976,3253,-,-,-,-,mez. mix,mezinárodní pás,,,,no,
NFA,p-101536,O poctivém matějovi,O poctivém matějovi,O poctivém Matějovi,metal box,35 mm,MB - ORWO (35 mm),-,,1,30.09.88,-,-,studio II,-,-,mix přepis,mix,přepis,,,no,
NFA,p-101149,O poctivém matějovi,O poctivém matějovi,O poctivém Matějovi,metal box,35 mm,MB - ORWO (35 mm),Ing. Děták,Jaroslav Děták,1,18.1.1990,3242,č.f. 429502,-,-,-,mix francouzsky,mix,,,,no,fr
NFA,p-101498,O poctivém matějovi,O poctivém matějovi,O poctivém Matějovi,metal box,35 mm,ORWO 202,Ing. Děták,Jaroslav Děták,1,18.01.90,3242,č.f. 429502,-,-,-,německá v.,magnetický záznam,verze,,,no,de
NFA,p-101225,O poctivém matějovi,O poctivém matějovi,O poctivém Matějovi,metal box,35 mm,MB - ORWO (35 mm),Ing. Děták,Jaroslav Děták,1,18.1.1990,3242,č.f. 429502,-,-,-,mix anglicky,mix,,,,no,en
NFA,p-101234,O poctivém matějovi,O poctivém matějovi,O poctivém Matějovi,metal box,35 mm,MB - ORWO (35 mm),-,,1,30.9.1988,-,-,studio II,-,-,mix,mix,,,,no,
